report_date,descr_stage,report_text,event_date,date_source,assigned_carrier,ac_manufacturer,ac_family,ac_standard_name,ac_reported_name,ac_number_of_ac,geo_loc,geo_loc_ind,geo_loc2,geo_nlocs,geo_iso_code,geo_country,geo_lat,geo_long,descr_part,descr_action,descr_adjective,descr_condition
2005-03-08,NA,NA,2005-03-06,Estimated,NA,NA,NA,NA,NA,0,,,,1,NA,NA,NA,NA,NA,NA,NA,NA
2005-03-08,,Get the news right onto your desktop when they happen,2005-03-06,Estimated,NA,NA,NA,NA,NA,0,,,,1,NA,NA,NA,NA,,,,
2005-03-08,on_ground,Northwest DC9 &A319 at Minneapolis on May 10th 2005: two planes collide at gate,2005-05-10,Extracted,northwest,mcdonnell_douglas,DC9 family,DC9,DC9,1,Minneapolis,at,Minneapolis,1,USA,USA,44.96,-93.27,,collision,,
2005-08-17,,"Flash Air B737 at Sharm el-Sheik on Jan 03 2004, rolled uncontrolled and crashed into Red Sea",2005-08-15,Estimated,NA,boeing,737 family,B737,B737,1,Sharm el-Sheik,at,Sharm el-Sheik,1,NA,NA,NA,NA,,crash,,
2005-08-24,approach;runway,"Tans Peru[[:space:]]B737-200 at Pucallpa, Amazonas on August 23rd 2005, crashed short of runway in turbulent final approach",2005-08-23,Extracted,NA,NA,NA,NA,NA,0,,,,1,NA,NA,NA,NA,,crash,,
2005-08-31,departure,"Mandala Airlines B737-200 at Medan, Indonesia on Sep 5th 2005, crashed on takeoff",2005-09-05,Extracted,mandala airlines,boeing,737 family,B737,B737-200,1,"Medan, Indonesia",at,Medan,2,IDN,Indonesia,3.59,98.67,,crash,,
2005-08-31,departure,"Mandala Airlines B737-200 at Medan, Indonesia on Sep 5th 2005, crashed on takeoff",2005-09-05,Extracted,mandala airlines,boeing,737 family,B737,B737-200,1,"Medan, Indonesia",at,Indonesia,2,IDN,Indonesia,NA,NA,,crash,,
2005-09-05,,"Fedex MD-10 gear collapse at Memphis, TN, Dec 18th 2003",2003-12-18,Extracted,fedex,mcdonnell_douglas,MD10 family,MD10,MD-10,1,"Memphis, TN",at,Memphis,2,USA,USA,35.11,-90.01,,collapse,,
2005-09-05,,"Fedex MD-10 gear collapse at Memphis, TN, Dec 18th 2003",2003-12-18,Extracted,fedex,mcdonnell_douglas,MD10 family,MD10,MD-10,1,"Memphis, TN",at,TN,2,NA,NA,NA,NA,,collapse,,
2005-09-08,,Milano Collision SAS MD-87 and Cessna 525,2005-09-06,Estimated,sas,mcdonnell_douglas,MD80 family,MD87,MD-87,1,,,,1,NA,NA,NA,NA,,collision,,
2005-09-12,approach;runway;departure,KLM B737 at Barcelona Nov 28th 2004 - airplane veered off runway on landing after bird strike on takeoff,2004-11-28,Extracted,klm,boeing,737 family,B737,B737,1,Barcelona,at,Barcelona,1,ESP,Spain,41.4,2.17,,bird_strike;veered off,,
2005-09-15,,Helvetic DC-9-83 at Pristina: wing touches ground on go-around,2005-09-13,Estimated,helvetic,mcdonnell_douglas,DC9 family,DC9,DC-9-83,1,Pristina,at,Pristina,1,SRB,Kosovo,42.65,21.17,,,,
2005-09-16,departure,"Air Algerie B737-200 at Tamanrasset Aguenar March 6th 2003, crash after engine failure at takeoff",2003-03-06,Extracted,air algerie,boeing,737 family,B737,B737-200,1,Tamanrasset Aguenar,at,Tamanrasset Aguenar,1,NA,NA,NA,NA,,crash;failure,,
2005-09-16,departure,"Air Algerie B737-200 at Tamanrasset Aguenar March 6th 2003, crash after engine failure at takeoff",2003-03-06,Extracted,algerie,boeing,737 family,B737,B737-200,1,Tamanrasset Aguenar,at,Tamanrasset Aguenar,1,NA,NA,NA,NA,,crash;failure,,
2005-09-28,departure,"UTA B727-200 at Cotonou Dec 25th 2003, crash on takeoff due to overload and forward CG",2003-12-25,Extracted,NA,boeing,727 family,B727,B727-200,1,Cotonou,at,Cotonou,1,BEN,Benin,6.36,2.44,,crash;overload,,
2005-09-29,approach,"Brit Air CL600 at Brest, June 22nd 2003, crew failed to arm approach mode resulting in CFIT",2003-06-22,Extracted,brit air,bombardier,CL600 family,CL600,CL600,1,Brest,at,Brest,1,BLR,Belarus,52.12,23.68,cabin_crew,failure,,
2005-10-04,approach,"RyanAir B737 at Skavsta 21st July 2004, hot and high approach, flaps overspeed, safe landing without report",2004-07-21,Extracted,ryanair,boeing,737 family,B737,B737,1,Skavsta,at,Skavsta,1,NA,NA,NA,NA,,overspeed,,speed
2005-10-05,approach,"Executive Airlines (American Eagle) ATR72 at San Juan, Puerto Rico on May 9th 2004, bounces on landing resulting in a crash",2004-05-09,Extracted,american,atr,AT72 family,AT72,ATR72,1,,,,1,NA,NA,NA,NA,,crash,,
2005-10-23,runway,"Aeroflot DC-10 at Frankfurt-Hahn on Jan 16th,2004, aircraft overshot snowy runway",2004-01-16,Extracted,aeroflot,mcdonnell_douglas,DC10 family,DC10,DC-10,1,Frankfurt-Hahn,at,Frankfurt-Hahn,1,DEU,Germany,49.9487,7.26389,,shot;snow,,
2005-10-23,runway,"Aeroflot DC-10 at Frankfurt-Hahn on Jan 16th,2004, aircraft overshot snowy runway",2004-01-16,Extracted,lot,mcdonnell_douglas,DC10 family,DC10,DC-10,1,Frankfurt-Hahn,at,Frankfurt-Hahn,1,DEU,Germany,49.9487,7.26389,,shot;snow,,
2005-11-01,,"British European BAe 146-200 at Birmingham on Nov 5th 2000, First officer incapacitated, Captain partially incapacitated",2000-11-05,Extracted,NA,british_aerospace,146 family,BAe146,BAe 146-200,1,,,,1,NA,NA,NA,NA,,incapacitated,,
2005-11-01,,"Qantas B747-400 at Munich on July 28th 2005, fuel below required reserves following diversion",2005-07-28,Extracted,qantas,boeing,747 family,B747,B747-400,1,Munich,at,Munich,1,DEU,Germany,48.14,11.58,,divert,,
2005-11-14,,"Helios Airways B737 near Athens on Aug 14th 2005, both pilots consciousless",2005-08-14,Extracted,helios airways,boeing,737 family,B737,B737,1,Athens,near,Athens,1,GRC,Greece,37.98,23.73,pilot,,,
2005-11-17,departure,"Korean Airlines B777 at Sydney October 20th 2005, aircraft took off[[:space:]]over towed B744",2005-10-20,Extracted,korean airlines b777,boeing,747 family/777 family,B747/B777,B744/B777,2,Sydney,at,Sydney,1,AUS,Australia,-33.87,151.21,,,,
2005-11-17,departure,"Korean Airlines B777 at Sydney October 20th 2005, aircraft took off[[:space:]]over towed B744",2005-10-20,Extracted,korean airlines,boeing,747 family/777 family,B747/B777,B744/B777,2,Sydney,at,Sydney,1,AUS,Australia,-33.87,151.21,,,,
2005-11-17,departure,"Korean Airlines B777 at Sydney October 20th 2005, aircraft took off[[:space:]]over towed B744",2005-10-20,Extracted,korean,boeing,747 family/777 family,B747/B777,B744/B777,2,Sydney,at,Sydney,1,AUS,Australia,-33.87,151.21,,,,
2005-11-23,,"British Airways A319 near London on Nov 25th 2005, looses electrical power and all primary instruments, autopilot, ...",2005-11-25,Extracted,british airways,airbus,A320 family,A319,A319,1,London,near,London,1,GBR,UK,51.52,-0.1,pilot,,,
2005-11-23,,"British Airways A319 near London on Nov 25th 2005, looses electrical power and all primary instruments, autopilot, ...",2005-11-25,Extracted,british[[:space:]]airways,airbus,A320 family,A319,A319,1,London,near,London,1,GBR,UK,51.52,-0.1,pilot,,,
2005-11-26,approach;runway,"Austrian Fokker 70 at[[:space:]]Munich on Jan 5th 2004, power loss on both engines, aircraft landed short of runway",2004-01-05,Extracted,austrian,fokker,F70 family,F70,Fokker 70,1,,,,1,NA,NA,NA,NA,,,,
2005-12-04,approach,"Air Cargo Shorts 360 at Oshawa, Canada on Dec 16th 2004, landing rejected, but impact with rising terrain",2004-12-16,Extracted,NA,shorts,SH36 family,SH36,Shorts 360,1,,,,1,NA,NA,NA,NA,,rejected,,
2005-12-10,approach,"Sosoliso MD-82 at Port Harcourt, Nigeria on Dec 10th, 2005, during final approach",2005-12-10,Extracted,NA,mcdonnell_douglas,MD80 family,MD82,MD-82,1,"Port Harcourt, Nigeria",at,Port Harcourt,2,NGA,Nigeria,4.78,7,,,,
2005-12-10,approach,"Sosoliso MD-82 at Port Harcourt, Nigeria on Dec 10th, 2005, during final approach",2005-12-10,Extracted,NA,mcdonnell_douglas,MD80 family,MD82,MD-82,1,"Port Harcourt, Nigeria",at,Nigeria,2,NGA,Nigeria,NA,NA,,,,
2005-12-20,departure,"Air India B747-400 at LAX on December 19th 2005, tire damage on takeoff, return to LAX (Video)",2005-12-19,Extracted,air india,boeing,747 family,B747,B747-400,1,LAX,at,LAX,1,NA,NA,NA,NA,,return;damage,,
2005-12-20,departure,"Air India B747-400 at LAX on December 19th 2005, tire damage on takeoff, return to LAX (Video)",2005-12-19,Extracted,india,boeing,747 family,B747,B747-400,1,LAX,at,LAX,1,NA,NA,NA,NA,,return;damage,,
2005-12-21,departure,"Midwest B717 at Boston on December 20th 2005, tire damage on takeoff, return to BOS (Video)",2005-12-20,Extracted,NA,boeing,717 family,B717,B717,1,Boston,at,Boston,1,USA,USA,42.34,-71.02,,return;damage,,
2005-12-23,enroute,"Air Caraibes Twin Otter at Saint-Barthelemy on March 24th 2001, captain used beta (reverse) in flight and lost control",2001-03-24,Extracted,caraibes,de_havilland_canada,Twin Otter family,Twin Otter,Twin Otter,1,Saint-Barthelemy,at,Saint-Barthelemy,1,BLM,St. Barthélemy,NA,NA,pilot,,,
2005-12-24,,"Alaska Airlines MD-80 near Seattle on Dec 27th 2005, suffered a hole in fuselage at FL260",2005-12-27,Extracted,alaska airlines,mcdonnell_douglas,MD80 family,MD80,MD-80,1,Seattle,near,Seattle,1,USA,USA,47.62,-122.35,,hole,,
2005-12-24,,"Alaska Airlines MD-80 near Seattle on Dec 27th 2005, suffered a hole in fuselage at FL260",2005-12-27,Extracted,alaska,mcdonnell_douglas,MD80 family,MD80,MD-80,1,Seattle,near,Seattle,1,USA,USA,47.62,-122.35,,hole,,
2005-12-24,departure,"Azerbaijan Airlines AN-140 near Baku on December 23rd 2005, lost all crucial instruments shortly after takeoff",2005-12-23,Extracted,azerbaijan airlines,antonov,A140,A140,AN-140,1,Baku,near,Baku,1,AZE,Azerbaijan,40.39,49.86,,,,
2005-12-24,departure,"Azerbaijan Airlines AN-140 near Baku on December 23rd 2005, lost all crucial instruments shortly after takeoff",2005-12-23,Extracted,azerbaijan,antonov,A140,A140,AN-140,1,Baku,near,Baku,1,AZE,Azerbaijan,40.39,49.86,,,,
