orig_text,reporting_date
NA,2005-03-08
Get the news right onto your desktop when they happen,2005-03-08
Northwest DC9 &A319 at Minneapolis on May 10th 2005: two planes collide at gate,2005-03-08
"Flash Air B737 at Sharm el-Sheik on Jan 03 2004, rolled uncontrolled and crashed into Red Sea",2005-08-17
"Tans Peru  B737-200 at Pucallpa, Amazonas on August 23rd 2005, crashed short of runway in turbulent final approach",2005-08-24
"Mandala Airlines B737-200 at Medan, Indonesia on Sep 5th 2005, crashed on takeoff",2005-08-31
"Fedex MD-10 gear collapse at Memphis, TN, Dec 18th 2003",2005-09-05
Milano Collision SAS MD-87 and Cessna 525,2005-09-08
KLM B737 at Barcelona Nov 28th 2004 - airplane veered off runway on landing after bird strike on takeoff,2005-09-12
Helvetic DC-9-83 at Pristina: wing touches ground on go-around,2005-09-15
"Air Algerie B737-200 at Tamanrasset Aguenar March 6th 2003, crash after engine failure at takeoff",2005-09-16
"UTA B727-200 at Cotonou Dec 25th 2003, crash on takeoff due to overload and forward CG",2005-09-28
"Brit Air CL600 at Brest, June 22nd 2003, crew failed to arm approach mode resulting in CFIT",2005-09-29
"RyanAir B737 at Skavsta 21st July 2004, hot and high approach, flaps overspeed, safe landing without report",2005-10-04
"Executive Airlines (American Eagle) ATR72 at San Juan, Puerto Rico on May 9th 2004, bounces on landing resulting in a crash",2005-10-05
"Aeroflot DC-10 at Frankfurt-Hahn on Jan 16th,2004, aircraft overshot snowy runway",2005-10-23
"British European BAe 146-200 at Birmingham on Nov 5th 2000, First officer incapacitated, Captain partially incapacitated",2005-11-01
"Qantas B747-400 at Munich on July 28th 2005, fuel below required reserves following diversion",2005-11-01
"Helios Airways B737 near Athens on Aug 14th 2005, both pilots consciousless",2005-11-14
"Korean Airlines B777 at Sydney October 20th 2005, aircraft took off  over towed B744",2005-11-17
"British Airways A319 near London on Nov 25th 2005, looses electrical power and all primary instruments, autopilot, ...",2005-11-23
"Austrian Fokker 70 at  Munich on Jan 5th 2004, power loss on both engines, aircraft landed short of runway",2005-11-26
"Air Cargo Shorts 360 at Oshawa, Canada on Dec 16th 2004, landing rejected, but impact with rising terrain",2005-12-04
